product_name,total_sales
perfumaria,101.65
automotivo,129.9
cama_mesa_banho,229.0
utilidades_domesticas,117.8
relogios_presentes,199.0
automotivo,52.0
cool_stuff,498.0
consoles_games,350.09999999999997
cama_mesa_banho,78.9
moveis_decoracao,489.86
cama_mesa_banho,79.9
beleza_saude,233.89
fashion_calcados,1618.6
informatica_acessorios,29.0
utilidades_domesticas,829.89
cool_stuff,108.0
moveis_decoracao,129.9
cool_stuff,234.0
brinquedos,79.9
pet_shop,43.0
utilidades_domesticas,16.0
esporte_lazer,39.9
ferramentas_jardim,306.0
esporte_lazer,199.96
ferramentas_jardim,35.99
moveis_sala,179.9
malas_acessorios,94.9
casa_construcao,666.0
moveis_cozinha_area_de_servico_jantar_e_jardim,898.0
esporte_lazer,72.0
moveis_decoracao,14.9
beleza_saude,39.9
esporte_lazer,527.99
construcao_ferramentas_construcao,390.0
esporte_lazer,19.25
moveis_decoracao,349.9
utilidades_domesticas,196.0
moveis_quarto,229.0
perfumaria,191.87
fashion_roupa_masculina,43.5
esporte_lazer,69.99
moveis_decoracao,55.8
construcao_ferramentas_seguranca,34.89
beleza_saude,68.5
fashion_bolsas_e_acessorios,79.0
esporte_lazer,299.70000000000005
automotivo,59.9
fraldas_higiene,37.0
brinquedos,23.9
esporte_lazer,99.8
utilidades_domesticas,463.95
construcao_ferramentas_seguranca,521.9
cama_mesa_banho,179.8
cama_mesa_banho,207.0
beleza_saude,1100.0
beleza_saude,69.49
relogios_presentes,270.9
esporte_lazer,3054.88
cama_mesa_banho,799.5
informatica_acessorios,119.69999999999999
utilidades_domesticas,298.66
utilidades_domesticas,29.9
beleza_saude,134.7
moveis_decoracao,37.5
brinquedos,404.5
perfumaria,132.4
automotivo,949.9
informatica_acessorios,49.99
informatica_acessorios,14.99
telefonia,24.99
moveis_decoracao,17.46
esporte_lazer,269.70000000000005
automotivo,129.01
utilidades_domesticas,94.0
telefonia,66.0
utilidades_domesticas,737.9
perfumaria,574.8
automotivo,537.76
artigos_de_natal,16.56
cama_mesa_banho,244.5
cool_stuff,146.65
perfumaria,199.98
papelaria,84.9
brinquedos,33.9
telefonia_fixa,10.9
relogios_presentes,749.99
livros_interesse_geral,21.0
casa_construcao,702.11
cama_mesa_banho,113.9
consoles_games,19.9
utilidades_domesticas,31.9
moveis_decoracao,13.9
moveis_decoracao,169.9
informatica_acessorios,83.99
telefonia,26.99
automotivo,118.8
telefonia,1914.2
relogios_presentes,999.99
telefonia,21.99
moveis_decoracao,109.9
esporte_lazer,699.0
moveis_decoracao,24.9
moveis_decoracao,9.9
informatica_acessorios,130.0
beleza_saude,208.69
esporte_lazer,55.9
esporte_lazer,289.9
informatica_acessorios,47.67
utilidades_domesticas,99.99
moveis_decoracao,199.98
eletronicos,40.8
fashion_bolsas_e_acessorios,2800.0
telefonia,1502.93
esporte_lazer,69.95
utilidades_domesticas,179.98
brinquedos,759.9
pc_gamer,649.95
brinquedos,149.8
moveis_decoracao,89.8
informatica_acessorios,533.7
telefonia,29.97
moveis_decoracao,179.7
brinquedos,175.8
papelaria,298.0
informatica_acessorios,24.9
moveis_decoracao,599.9499999999999
automotivo,59.9
brinquedos,105.0
cool_stuff,65.0
bebes,97.98
esporte_lazer,99.9
brinquedos,35.09
esporte_lazer,299.70000000000005
brinquedos,4749.3
informatica_acessorios,31.58
esporte_lazer,139.8
utilidades_domesticas,22.9
perfumaria,277.5
utilidades_domesticas,48.6
relogios_presentes,98.0
consoles_games,81.64
beleza_saude,299.08
utilidades_domesticas,169.8
perfumaria,49.9
eletrodomesticos,40.5
pet_shop,317.98
relogios_presentes,87.0
moveis_decoracao,169.9
moveis_cozinha_area_de_servico_jantar_e_jardim,265.99
esporte_lazer,52.7
esporte_lazer,119.49
informatica_acessorios,2299.2
cama_mesa_banho,1049.85
utilidades_domesticas,13.5
moveis_sala,139.0
relogios_presentes,199.0
cool_stuff,67.8
fashion_calcados,74.9
bebes,658.74
relogios_presentes,199.9
esporte_lazer,89.99
alimentos,339.8
cama_mesa_banho,981.6
pet_shop,129.7
utilidades_domesticas,52.0
telefonia_fixa,29.47
cool_stuff,439.98
utilidades_domesticas,29.9
cama_mesa_banho,313.5
cama_mesa_banho,149.8
beleza_saude,305.0
fashion_roupa_masculina,24.9
eletronicos,36.64
malas_acessorios,626.7
beleza_saude,79.56
cama_mesa_banho,43.98
beleza_saude,1903.7
moveis_decoracao,46.9
malas_acessorios,69.9
automotivo,79.4
esporte_lazer,136.5
esporte_lazer,315.0
automotivo,54.9
esporte_lazer,43.98
eletrodomesticos,152.25
